feature,coef,abs_coef
Name_Waterville Area Boys & Girls Club,-0.020466820483467173,0.020466820483467173
Name_Laurel Hill Cemetery Association,-0.02042803696557908,0.02042803696557908
Name_Ancient Free & Accepted Masons of Maine,-0.02042160567102757,0.02042160567102757
Name_Aroostook Area Agency on Aging Inc.,-0.02042028023972215,0.02042028023972215
Name_Order of the Eastern Star of Maine,-0.020414683055876265,0.020414683055876265
City_Steep Falls,-0.02020185904034188,0.02020185904034188
Name_Ervin A Center Memorial Clinic Hospital,-0.02020185904034188,0.02020185904034188
Name_South Blue Hill Cemetery Association Inc.,-0.02008787254606157,0.02008787254606157
City_Mechanic Fls,-0.01973729757054432,0.01973729757054432
Name_Pine Grove Cemetery of Poland Maine Inc.,-0.01973729757054432,0.01973729757054432
Name_Halfway House Inc.,0.019687596741735307,0.019687596741735307
Name_The Portland Club,0.019301172207100554,0.019301172207100554
City_Rumford,0.01911337173735268,0.01911337173735268
Name_Levey Day School,0.018936278478225745,0.018936278478225745
Name_Greater Portland Christian School Association,-0.018910255023432285,0.018910255023432285
City_S Portland,-0.018910255023432285,0.018910255023432285
Name_Animal Refuge League of Greater Portland,-0.01878401775827296,0.01878401775827296
Name_Southwest Harbor-Tremont Nursing Service Inc.,-0.018764419150834655,0.018764419150834655
Name_United Way Inc.,0.018575615102209977,0.018575615102209977
City_E Vassalboro,0.01847784231921797,0.01847784231921797
